X,y
75.0,1.0
0.0,
190.0,
80.0,
91.0,
193.0,
371.0,
174.0,
121.0,
-16.0,
0.0,
52.0,
44.0,
0.0,
0.0,
32.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
44.0,
20.0,
36.0,
0.0,
28.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
52.0,
40.0,
0.0,
0.0,
0.0,
60.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
52.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
56.0,
36.0,
0.0,
0.0,
32.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
48.0,
32.0,
0.0,
0.0,
0.0,
56.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
80.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
40.0,
52.0,
0.0,
0.0,
28.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
48.0,
48.0,
0.0,
0.0,
32.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
52.0,
52.0,
0.0,
0.0,
36.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
52.0,
48.0,
0.0,
0.0,
32.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
56.0,
44.0,
0.0,
0.0,
32.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
-0.2,
0.0,
6.1,
-1.0,
0.0,
0.0,
0.6,
2.1,
13.6,
30.8,
0.0,
0.0,
1.7,
-1.0,
0.6,
0.0,
1.3,
1.5,
3.7,
14.5,
0.1,
-5.2,
1.4,
0.0,
0.0,
0.0,
0.8,
-0.6,
-10.7,
-15.6,
0.4,
-3.9,
0.0,
0.0,
0.0,
0.0,
-0.8,
-1.7,
-10.1,
-22.0,
0.0,
0.0,
5.7,
-1.0,
0.0,
0.0,
-0.1,
1.2,
14.1,
22.5,
0.0,
-2.5,
0.8,
0.0,
0.0,
0.0,
1.0,
0.4,
-4.8,
-2.7,
0.1,
-6.0,
0.0,
0.0,
0.0,
0.0,
-0.8,
-0.6,
-24.0,
-29.7,
0.0,
0.0,
2.0,
-6.4,
0.0,
0.0,
0.2,
2.9,
-12.6,
15.2,
-0.1,
0.0,
8.4,
-10.0,
0.0,
0.0,
0.6,
5.9,
-3.9,
52.7,
-0.3,
0.0,
15.2,
-8.4,
0.0,
0.0,
0.9,
5.1,
17.7,
70.7,
-0.4,
0.0,
13.5,
-4.0,
0.0,
0.0,
0.9,
3.9,
25.5,
62.9,
-0.3,
0.0,
9.0,
-0.9,
0.0,
0.0,
0.9,
2.9,
23.3,
49.4,
